Sample Input,Translation,Ground Truth
Carla Hairston said she was 15 and Lamb was 20 when they met through mutual friends.,"Carla Hairston sagte, sie sei 15 und Lamb war 20, als sie durch gegenseitige Freunde trafen.","Carla Hairston sagte, sie war 15 und Lamm war 20, als sie sich durch gemeinsame Freunde trafen."
"She and her friends were in high school, and he was the cool older guy who tried for several years to teach her to play guitar.","Sie und ihre Freunde waren in der High School, und er war der coole ältere Mann, der versuchte, sie für mehrere Jahre zu unterrichten, Gitarre zu spielen.","Sie und ihre Freunde waren in der High School, und er war der coole ältere Kerl, der einige Jahre versuchte, ihr das Gitarrenspiel beizubringen."
He was quite the heartthrob back then.,Er war damals ziemlich herzhaft.,Er war damals der Frauenschwarm.
"All the girls would melt when he was around,"" said Hairston, now 40 and living in the Jackson suburb of Brandon.","Alle Mädchen würden schmelzen, als er um war"", sagte Hairston, jetzt 40 und lebt im Jackson-Vorororteil Brandon.","Alle Mädchen schmolzen dahin, wenn er da war"", sagte Hairston, jetzt 40 und in der Jackson Vorstadt von Brandon wohnhaft."
Lamb and Prentiss had apparently been dating for some time.,Lamm und Prentiss scheinen schon seit einiger Zeit zu drängen.,Lamb und Prentiss waren offensichtlich einige Zeit zusammen.
"In the 911 call, Lamb said ""I killed my wife,"" but there was no record of them ever marrying.","Im 911-Anruf sagte Lamb ""Ich habe meine Frau getötet"", aber es gab keine Rekord davon, dass sie jemals heiraten.","In dem Notruf sagte Lamb ""Ich habe meine Frau getötet"", aber es gab keine Urkunde von einer Heirat."
They had a dog named Lightning that lived with them at the brick house that backs up to a bayou in Gautier.,"Sie hatten einen Hund namens Blitz, der mit ihnen im Ziegelhaus lebte, das bis zu einer Bucht in Gautier zurückreicht.","Sie hatten einen Hund namens Lightning, der mit ihnen in dem Backstein-Haus lebte, das an einen Bayou in Gautier angrenzt."
Police said the dog was OK.,"Die Polizei sagte, der Hund sei in Ordnung.","Die Polizei sagte, dass der Hund in Ordnung war."
"Prentiss' ex-husband, Shawn O'Steen, said they divorced 15 years ago but remained friends and had a daughter who's now 19.","Prentiss' ex-husband, Shawn O'Steen, sagte, sie seien vor 15 Jahren geheiratet, blieben aber Freunde und hatten eine Tochter, die nun 19 Jahre alt ist.","Der Ex-Ehemann von Prentiss, Shawn O'Steen, sagte, sie seien vor 15 Jahren geschieden wurden, aber Freunde geblieben waren und eine Tochter hatten, die jetzt 19 Jahre alt war."
"""She was completely devastated,"" O'Steen said of his daughter.","""Sie war völlig verwüstet"", sagte O'Steen von seiner Tochter.","""Sie war total am Boden zerstört"", sagte O'Steen über seine Tochter."
She and her mother were absolutely best friends.,Sie und ihre Mutter waren absolut beste Freunde.,Sie und ihre Mutter waren absolut beste Freunde.
O'Steen said he had not met Lamb but heard through his daughter Abigail that Lamb was interested in music and played the blues.,"O'Steen sagte, dass er Lamb nicht getroffen hatte, aber durch seine Tochter Abigail hörte, dass Lamb an Musik interessiert war und die Blues spielte.","O'Steen sagte, er habe Lamb nie getroffen, aber durch seine Tochter Abigail habe er gehört, dass Lamb an Musik interessiert war und Blues spielte."
Lamb met Prentiss when he and Abigail both performed at a summer fair three years ago.,"Lamb traf Prentiss, als er und Abigail vor drei Jahren auf einer Sommermesse auftreten.","Lamb traf Prentiss, als er und Abigail vor drei Jahren beide auf einem Sommer-Jahrmarkt auftraten."
"Later, they played together in the occasional gig.",Später spielten sie zusammen in den gelegentlichen Auftritten.,Später spielten sie zusammen den einen oder anderen Gig.
O'Steen said his daughter writes and sings her own music.,"O'Steen sagte, seine Tochter schreibt und singt ihre eigene Musik.","O'Steen sagte, seine Tochter schreibt und singt ihre eigene Musik."
Prentiss was a nurse who worked for various companies online.,"Prentiss war eine Krankenschwester, die für verschiedene Unternehmen online arbeitete.","Prentiss war eine Krankenschwester, die für verschiedene Unternehmen online arbeitete."
"Mike Shaffer, a bartender and sometimes entertainment coordinator at The Julep Room, a dimly lit bar near Gautier, said he last saw Lamb and Prentiss the night of Sept. 5, after Lamb had finished playing his guitar and harmonica for a sparse crowd.","Mike Shaffer, ein Bartender und manchmal Unterhaltungskoordinator bei The Julep Room, eine dimly lit Bar in der Nähe von Gautier, sagte, er sah zuletzt Lamb und Prentiss in der Nacht vom 5. September, nachdem Lamb fertig gestellt hatte, seine Gitarre und Harmonika für eine sparsame Menge zu spielen.","Mike Shaffer, ein Barkeeper und manchmal Unterhaltungs-Koordinator bei The Julep Room, einer schwach beleuchteten Bar in der Nähe von Gautier, sagte, dass er Lamb und Prentiss Night in der Nacht 5. September zum letzten Mal sah, nachdem Lamb sein Gitarren- und Mundharmonikaspiel beendet vor einem spärlichen Publikum beendet hatte."
There was no sign of anything amiss.,Es gab kein Anzeichen für etwas Unrecht.,"Es gab keine Anzeichen dafür, dass irgendetwas nicht stimmte."
"""Just a happy couple,"" he said.","""Just ein glückliches Paar"", sagte er.","""Einfach nur ein glückliches Paar"", sagte er."
We were cutting up and throwing one-liners at each other.,Wir schneiten und werfen ein Liner gegenseitig auf.,Wir waren am Aufräumen und scherzten miteinander.
"I mean, they both had a good sense of wit about them.","Ich meine, sie beide hatten ein gutes Gewitter über sie.","Ich meine, sie hatten beide einen guten Sinn für Scherze."
"Schmidt, the slain professor, directed the first-year seminar program and specialized in Native American and colonial history, said Don Allan Mitchell, an English professor at the school.","Schmidt, der ermordete Professor, leitete das Seminarprogramm des ersten Jahres und spezialisierte sich auf die Geschichte der Ureinwohner und Kolonialherren, sagte Don Allan Mitchell, ein Englischlehrer an der Schule.","Schmidt, der tote Professor, leitete das Erstsemester-Seminarprogramm und spezialisierte sich auf amerikanische Ureinwohner und koloniale Geschichte, sagte Don Allan Mitchell, ein Englisch-Professor an der Schule."
He was married and had three young children.,Er war verheiratet und hatte drei junge Kinder.,Er war verheiratet und hatte drei kleine Kinder.
He studied at Emporia State University in Kansas and was president of his fraternity and student government.,Er studierte an der Emporia State University in Kansas und war Präsident seiner Brüderschaft und Studentenregierung.,Er studierte an der Emporia State University in Kansas und war Präsident seiner Bruderschaft und des Studenten-Ausschusses.
"On the Delta State campus in Cleveland on Tuesday night, about 900 people, including faculty members, staff, students, and members of the community, attended a candlelight memorial.","Auf dem Delta State Campus in Cleveland am Dienstagabend besuchten rund 900 Menschen, darunter Fakultätsmitglieder, Mitarbeiter, Studenten und Mitglieder der Gemeinschaft, ein Kerzenlicht-Gedenkmal.","Auf dem Delta State Campus in Cleveland nahmen am Dienstag Abend etwa 900 Menschen, einschließlich Dozenten, Mitarbeiter, Studenten und Mitglieder der Gemeinde an einer Kerzenlicht-Gedenkfeier teil."
"Schmidt's wife, Liz, and brother Jeff Schmidt also attended the vigil, during which the university choir sang ""Bright Morning Star"" and ""Amazing Grace.""","Schmidts Frau Liz und Bruder Jeff Schmidt besuchten auch die Vigil, in der der Universitätschor ""Bright Morning Star"" und ""Amazing Grace"" sangen.","Schmidts Frau Liz und sein Bruder Jeff Schmidt nahmen ebenfalls an der Mahnwache teil, während der Universitätschor ""Bright Morning Star"" und ""Amazing Grace"" sang."
Classes resume Wednesday.,Die Kurse werden am Mittwoch wieder aufgenommen.,Der Unterricht wird am Mittwoch wieder aufgenommen.
"""We're trying to get our students to come back,"" LaForge said.","""Wir versuchen, unsere Studenten zurückzukehren"", sagte LaForge.","""Wir versuchen, unsere Studenten zur Rückkehr zu bewegen"", sagte LaForge."
The crisis is over.,Die Krise ist vorbei.,Die Krise ist vorüber.
This is a day of healing.,Dies ist ein Tag der Heilung.,Dies ist ein Tag der Heilung.
"Amy and Rogelio Solis reported from Cleveland, Mississippi.","Amy und Rogelio Solis berichteten aus Cleveland, Mississippi.","Amy und Rogelio Solis berichteten aus Cleveland, Mississippi."
"Associated Press writers Emily Wagster Pettus in Greenville, Mississippi, and Rebecca Santana in New Orleans contributed to this report.","Die Schriftsteller Emily Wagster Pettus in Greenville, Mississippi, und Rebecca Santana in New Orleans haben zu diesem Bericht beigetragen.","Associated Press Autoren Emily Wagster Pettus in Greenville, Mississippi, und Rebecca Santana in New Orleans trugen zu diesem Bericht bei."
"This story has been corrected to reflect that police are now saying Lamb made the 911 call after shooting Schmidt, and that while Lamb referred to Prentiss as his wife in the 911 call, there is no indication the two ever married.","Diese Geschichte wurde korrigiert, um zu reflektieren, dass die Polizei jetzt sagen, Lamb machte den 911-Anruf, nachdem Schmidt erschossen, und dass Lamb zwar Prentiss als seine Frau in der 911-Anruf, aber es gibt keine Anzeichen, dass die beiden je verheiratet.","Diese Geschichte wurde korrigiert, um widerzuspiegeln, dass die Polizei jetzt sagt, dass Lamb den Notruf machte, nachdem er Schmidt erschossen hatte, und dass Lamm in seinem Notruf Prentiss zwar als seine Frau bezeichnete, aber es keinen Hinweis darauf gibt, dass die beiden jemals geheiratet haben."
Toys R Us Plans to Hire Fewer Holiday Season Workers,"Spielzeug R Us Pläne, weniger Urlaubsarbeiter zu beschäftigen","Toys R Us plant, weniger Arbeitskräfte für die Weihnachtszeit einzustellen"
"Toys R Us says it won't hire as many holiday season employees as it did last year, but the toy and baby products retailer says it will give current employees and seasonal workers a chance to work more hours.","Spielzeug R Us sagt, dass es nicht so viele Angestellte für die Feriensaison einstellen wird wie im vergangenen Jahr, aber der Spielzeug- und Babyprodukte-Händler sagt, dass es den aktuellen Angestellten und Saisonarbeitern eine Chance geben wird, mehr Stunden zu arbeiten.","Toys R Us sagt, dass es nicht so viele Weihnachts-Saison-Mitarbeiter wie im letzten Jahr einstellen wird, aber der Spielzeug- und Baby-Produkte-Händler sagt, dass er den aktuell bei ihm beschäftigten Mitarbeitern und Saisonarbeitern eine Chance geben wird, mehr Stunden zu arbeiten."
"The company said it plans to hire 40,000 people to work at stores and distribution centers around the country, down from the 45,000 hired for the 2014 holiday season.","Das Unternehmen hat erklärt, dass es beabsichtigt, 40.000 Menschen für die Arbeit in Läden und Vertriebszentren im ganzen Land zu beschäftigen, was von den 45.000 für die Urlaubssaison 2014 veranschlagt wurde.","Das Unternehmen sagte, dass es plane, 40.000 Menschen in Läden und Vertriebszentren im ganzen Land einzustellen. In der Weihnachtszeit 2014 wurden noch 45.000 Arbeitskräfte eingestellt."
Most of the jobs will be part-time.,Die meisten Arbeitsplätze werden Teilzeit sein.,Die meisten Jobs werden Teilzeitjobs sein.
"The company said it will start interviewing applicants this month, with staff levels rising from October through December.","Das Unternehmen hat gesagt, dass es in diesem Monat mit der Befragung der Bewerber beginnen wird, wobei das Personalniveau von Oktober bis Dezember steigen wird.","Das Unternehmen sagte, dass es in diesem Monat mit Bewerbungsgesprächen beginnen wird und die Mitarbeiterzahl von Oktober bis Dezember steigt."
"While the holidays themselves are months away, holiday shopping season is drawing closer and companies are preparing to hire temporary employees to help them staff stores and sell, ship and deliver products.","Während die Ferien selbst Monate entfernt sind, nähert sich die Urlaubssaison und Unternehmen bereiten sich vor, zeitweilige Mitarbeiter einzustellen, um ihnen dabei zu helfen, Läden zu beschäftigen und Produkte zu verkaufen, zu verschiffen und zu liefern.","Während die Feiertage selbst noch Monate entfernt sind, rückt das Weihnachtsgeschäft näher, und Unternehmen bereiten sich darauf vor, Zeitarbeiter einzustellen, um Läden mit Mitarbeitern auszustatten, die verkaufen, versenden und Produkte ausliefern."
Michael J. Fox Jokes About His 'Date' With Princess Diana,Michael J. Fox Jokes About His 'Date' With Princess Diana,"Michael J. Fox scherzt über sein ""Date"" mit Prinzessin Diana"
"The premiere of ""Back to the Future"" was a huge moment for Michael J. Fox professionally.","Die Premiere von ""Back to the Future"" war ein riesiger Moment für Michael J. Fox professionell.","Die Premiere von ""Back to the Future"" war beruflich ein großer Moment für Michael J. Fox."
"It was noteworthy because of personal reasons, too.",Auch aus persönlichen Gründen war es bemerkenswert.,Sie war auch aus persönlichen Gründen bemerkenswert.
"""We were sitting in the theater waiting for the royals to come in and I realize that the seat next to me is empty, and it dawns on me that Princess Diana is going to be sitting next to me,"" he said in a trailer for an upcoming documentary, ""Back in Time.""","""Wir saßen im Theater, warteten auf die Könige, und ich erkenne, dass der Sitz neben mir leer ist, und es leuchtet auf mich, dass Prinzessin Diana neben mir sitzen wird"", sagte er in einem Trailer für ein kommendes Dokumentarfilm ""Back in Time"".","""Wir saßen im Theater warten auf die Royals, und ich merke, dass der Sitz neben mir leer ist, und es wird mir allmählich klar, dass Prinzessin Diana neben mir sitzen wird"", sagte er in einem Trailer für einen bevorstehenden Dokumentarfilm ""Back in Time""."
The movie starts and it occurs to me that I'm a fake yawn and an arm stretch away from being on a date with the Princess of Wales.,"Der Film beginnt und es passiert mir, dass ich ein gefälschtes Joggen bin und ein Arm weg von einem Datum mit der Prinzessin von Wales.","Der Film beginnt, und es kommt mir in den Sinn, dass ich ein simuliertes Gähnen und eine Armeslänge davon entfernt bin, mit der Prinzessin von Wales bei einem Date zu sein."
"""Back in Time,"" a documentary about ""Back to the Future,"" features interviews with Fox, Lea Thompson, and Christopher Lloyd, as well as director Robert Zemeckis, and executive producer Steven Spielberg.","""Back in Time"", ein Dokumentarfilm über ""Back to the Future"", enthält Interviews mit Fox, Lea Thompson und Christopher Lloyd sowie mit Regisseur Robert Zemeckis und Executive Producer Steven Spielberg.","""Back in Time"", eine Dokumentation über ""Back to the Future"", präsentiert Interviews mit Fox, Lea Thompson und Christopher Lloyd, sowie mit Regisseur Robert Zemeckis und dem Produzenten Steven Spielberg."
"""Back for the Future"" premiered 30 years ago.","""Back for the Future"" hat vor 30 Jahren Premiere gespielt.","""Back for the Future"" hatte vor 30 Jahren Premiere."
"""It really is for me,"" said Spielberg, ""inarguably the greatest time travel movie ever put on film.""","""Es ist wirklich für mich"", sagte Spielberg, ""unwahrscheinlich der größte Zeitreise-Film, der jemals auf den Film gebracht wurde"".","""Es ist für mich wirklich"", sagte Spielberg, ""unstrittig der größte Zeitreise-Film, der jemals gedreht wurde."""
"""Back in Time"" will be available on VOD, DVD and in select movie theaters Oct.","""Back in Time"" wird auf VOD, DVD und in ausgewählten Kinos Oct.","""Back in Time"" wird auf VOD, DVD und in ausgewählten Kinos im Oktober zu sehen sein."
UN Chief Says There Is No Military Solution in Syria,"UN-Chef sagt, dass es in Syrien keine militärische Lösung gibt","UN-Chef sagt, es gibt keine militärische Lösung in Syrien"
